"text","emotion","polarity"
"460","i really hopeis able to get his meniscus repaired again and not taken completely out gotta think long term bullsnation longevity","sadness","negative"
"461","get your right knee trimmed please","joy","neutral"
"462","keep that chin","unknown","positive"
"463","chi town til i die","joy","positive"
"464","coincidence or doeshave a broken product certainly has an image issue have a speedy recovery","unknown","neutral"
"465","i feel for you","unknown","positive"
"466","get well soon drose love you man","joy","neutral"
"467","get well soonafter getting injuring his right knee he will have surgery fixing the meniscus tear nba bulls htt","sadness","positive"
"468","sports talk i thinkbeen wanting to retire just my opinion","unknown","negative"
"469","get well sooncome back stronger next year","sadness","neutral"
"470","ay famyou see this yet noooo","unknown","positive"
"471","salutederrick rose respect","joy","positive"
"472","im not going to make fun of d rose i feel bad bruh amp what he going through must be hellish stay strong brother","joy","negative"
"473","as irrational as it is i cant stop believing inprayfordrose","unknown","negative"
"474","it is a shame i really dont think hell ever be the same this has to be tough on him mentally too","sadness","negative"
"475","get well soon","sadness","negative"
"476","chi town til i die","joy","positive"
"477","i cant describe how much my heart hurts forgiving everything to the game countless hrs of work amp feel so helple","joy","positive"
"478","andrew bynum and grady sizemore also shared the same thoughts","unknown","positive"
"479","yeah just join me in rehabwell drink the pain away","unknown","neutral"
"480","nigga you need to start drinking milk or somethingfragile ass bones","unknown","negative"
"481","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"482","they did drose wrong funny tho","unknown","neutral"
"483","ifandrun against each other in a race who tears their acl first","unknown","positive"
"484","andrew bynum and grady sizemore also shared the same thoughts","unknown","positive"
"485","againg","unknown","positive"
"486","regardless of however many injuries i will always be incornerbullsnation seered","unknown","positive"
"487","bro you got this man i believe in youonly the strong survivei know youll be back ima be your fan forever drose love you","anger","positive"
"488","regardless of however many injuries i will always be incornerbullsnation seered","unknown","positive"
"489","damn mancant get a break sorry man keep yo head up bruh","sadness","negative"
"490","chi town til i die","joy","positive"
"491","yeah just join me in rehabwell drink the pain away","unknown","neutral"
"492","just cant get out of the sick bay mr mvp also and forever quickrecovery","disgust","negative"
"493","damn feel so bad forhope he comes back this seasontimes come on","sadness","negative"
"494","ifandrun against each other in a race who tears their acl first","unknown","positive"
"495","what it do fam","unknown","positive"
"496","sam bradford yao ming and mark prior thinkgets injured too much nba","unknown","positive"
"497","stay strong","unknown","positive"
"498","regardless of however many injuries i will always be incornerbullsnation seered","unknown","positive"
"499","salutederrick rose respect","joy","positive"
"500","you will be back","unknown","positive"
"501","salutederrick rose respect","joy","positive"
"502","smh derrick rose hurt again i wish his knees would stay healthy feel bad for you","sadness","negative"
"503","the future forlooks bleakin all likelihood we have seen the end of derrick rose this season","unknown","positive"
"504","i think ive played more basketball than derrick rose","unknown","positive"
"505","i cant describe how much my heart hurts forgiving everything to the game countless hrs of work amp feel so helple","joy","positive"
"506","get well soon toof our best chicago players mvpand two time champion almost first american born mvpyour chicagostrong","sadness","positive"
"507","me tooshould check out bernard kings story bernie amp erniefordoc but even king only hurt it once badly","unknown","negative"
"508","our hearts are with youget well soon","unknown","positive"
"509","my thoughts on the derrick rose injury just rub some dirt on it get well soonhope to see you on the court again","sadness","negative"
"510","i cant describe how much my heart hurts forgiving everything to the game countless hrs of work amp feel so helpless to injury","joy","neutral"
"511","youll be back brother no doubt tear was expected the injuries will stop and youll be smiling again keep head up youre good","joy","positive"
"512","get better man you gotta prove these fools wrong also some monster numbershttp","sadness","negative"
"513","if i could give drose my knee i would","unknown","positive"
"514","still cant believe theinjury hes mentally so tough amp just wants to bring a championship back to his city","unknown","negative"
"515","yoyou just need to retire","unknown","negative"
"516","must come to the sad realization that his career is finally over","sadness","negative"
"517","stay strong broallinfordrose neverbackdown","unknown","positive"
"518","best wishes for a full and speedy recoverydont stay away too longwe will miss you","unknown","positive"
"519","they did drose wrong funny tho","unknown","neutral"
"520","i think me and derrick rose have the same knees im sorry","sadness","neutral"
"521","i knowis giving the bulls his best when he can but dude maybe its time throw in the chips","unknown","neutral"
"522","yoyou just need to retire","unknown","negative"
"523","bruh they not letting you livelmaoooooo","unknown","positive"
"524","bruh they not letting you livelmaoooooo","unknown","positive"
"525","get well soon","sadness","negative"
"526","drose retiresgoodluck idol","unknown","positive"
"527","po lil tinktink","unknown","positive"
"528","yoyou just need to retire","unknown","negative"
"529","yoyou just need to retire","unknown","negative"
"530","derrick is like a delicate rose","joy","positive"
"531","before d rose had all that hair he was an animal its the hair","unknown","positive"
"532","hey man you should let me be your personal trainer bet we make it so you never tear anything again","sadness","positive"
"533","there saying derrick rose tear isnt as serious as the previous oneshe will be back by playoffs stay strong man","sadness","positive"
"534","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"535","bruh they not letting you livelmaoooooo","unknown","positive"
"536","can the chicago bullsovercome his misfortune hes in uncharted territory","unknown","negative"
"537","please take good care ofi have no doubt the procedure will be a total success and hell be back to himself in no time","joy","neutral"
"538","nanyt naget well soonstay strong","unknown","positive"
"539","better opportunities are yet to come","unknown","positive"
"540","bruh they not letting you livelmaoooooo","unknown","positive"
"541","no matter what happens you will always be the real mvp for me not only in the court but also outside the basketball worlddbest","unknown","positive"
"542","im sure youll recover again and you returned to be the best positive mind","unknown","positive"
"543","they did drose wrong funny tho","unknown","neutral"
"544","our prayers go out towho has to undergo surgery for a torn meniscus","unknown","positive"
"545","bruh they not letting you livelmaoooooo","unknown","positive"
"546","bruh they not letting you livelmaoooooo","unknown","positive"
"547","after feeling the funeralesqe vibes of the uc last night i wrote this song for","unknown","negative"
"548","get well soon drose","sadness","negative"
"549","poorits sad to see another injury just as everyone was starting to see the youngest mvp come back get well man","sadness","negative"
"550","thought you could use some encouragement today power through","unknown","positive"
"551","i still believewill be a dominant player when he returns","unknown","positive"
"552","videooffers his support toafter another devastating injuryuninterrupted ht","unknown","neutral"
"553","first game withoutanddefeatat home onlylived up ptsrebastblk","unknown","negative"
"554","i wish you wellwill always respect themvp","joy","positive"
"555","yoyou just need to retire","unknown","negative"
"556","pray for drose we always hope you can back to the court we love you","joy","positive"
"557","ay famyou see this yet","unknown","positive"
"558","all jokes aside derrick rose is an mvp amp hall of famer when healthy get better","sadness","neutral"
"559","praying for my city man thereturn","unknown","positive"
"560","damn shame dude was wayyyy to athletic for his own good","joy","negative"
"561","wishing nothing but the best forand a full recoverystaystrongkeepbelieving","unknown","positive"
"562","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"563","get wellprayfordrose","sadness","negative"
"564","keep your head upcome back strongerwebullieve","unknown","positive"
"565","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"566","john u guys are great you and demps are doing the best am show in chi","joy","positive"
"567","that d rose injury does upset me i cant believe its happening to him like thisstay strong","joy","neutral"
"568","this makes me so sad get well soon drose get better","sadness","negative"
"569","this makes me so sad get well soon","sadness","negative"
"570","this makes me so sad get well soon","sadness","negative"
"571","man they speaking that","unknown","positive"
"572","prayers up for derrick roseget well soon","unknown","positive"
"573","john u guys are great you and demps are doing the best am show in chi","joy","positive"
"574","thank you","unknown","positive"
"575","sad to knowone of my idolis done","sadness","negative"
"576","good bye d","joy","positive"
"577","this makes me so sad get well soon","sadness","negative"
"578","this makes me so sad get well soon","sadness","negative"
"579","gonna miss watchingplay tsk","unknown","negative"
"580","this makes me so sad get well soon","sadness","negative"
"581","ay bro i believe in you and i never gave up on youbullslife you going down in history as the best that ever did it","anger","positive"
"582","too bad too bad","sadness","negative"
"583","dont be afraid of failure be afraid of not trying get well soon","fear","negative"
"584","talking aboutandwith the godfather of sports talk radiojoins us now","unknown","positive"
"585","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"586","same here","unknown","positive"
"587","wishinga speedy recovery and hoping his advisors get him better nutrition consultantshis injuries are due to an acid diet truth","sadness","positive"
"588","oh mother fucking piece of mother fucking shitis out of the mother fucking nbashit","unknown","positive"
"589","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"590","get well soon","sadness","negative"
"591","get well soon","sadness","negative"
"592","derrick rosewell wishes tykeread more on","unknown","positive"
"593","what do you think about droses injury terribly unfortunate forbut i know he will be back","unknown","neutral"
"594","hold ya up brother u hope u have a speedy recovery the nba needs u u have to start thinking of it like this you beyond basketball","joy","positive"
"595","im prayin to see a speedy drose recovery thoget well soon","unknown","positive"
"596","gonna miss watchingplay tsk","unknown","negative"
"597","i will always be a fan always hats off to you mvprespect","unknown","positive"
"598","yoyou just need to retire","unknown","negative"
"599","i will always be a fan always hats off to you mvprespect","unknown","positive"
"600","feel bad for my nigga","sadness","negative"
"601","our hearts are with youget well soon","unknown","positive"
"602","i will always be a fan always hats off to you mvprespect","unknown","positive"
"603","nba aint that exciting without","joy","positive"
"604","im sitting here just thinking how sad it is that my city got to go through this i love my city and everyone in it even my hate","anger","neutral"
"605","retweet to respect derrick roserespect","joy","positive"
"606","bad news babs","sadness","negative"
"607","get better soon your the best","sadness","neutral"
"608","just remember it could always be worse it could be life threatening do your best to keep your head up i wish you the best","unknown","neutral"
"609","inspires me to become a better point grad because his one of the bestnetde","unknown","positive"
"610","get well soon idol","sadness","neutral"
"611","if youre an athlete youll understand the pain ofget well soon man","unknown","neutral"
"612","reacts to s injury watch","unknown","negative"
"613","prayers up","unknown","positive"
"614","hoping that theis done and it hurts article is a hoax","unknown","negative"
"615","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"616","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"617","get well soontt","sadness","negative"
"618","rd knee surgery for derrick rose inyears damn wish you a speedy recovery for the nth time","unknown","neutral"
"619","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"620","nba latest injury to rosehitshard","unknown","negative"
"621","cant be hurt again damn man call it a career","unknown","negative"
"622","getwell drose roseup","unknown","positive"
"623","w onagain","unknown","positive"
"624","want to wish to my broa speedy recovery godbless bestrong","unknown","positive"
"625","heyyour my role model come back stronger than ever","unknown","positive"
"626","chi town til i die","joy","positive"
"627","is one the toughest guy ive seen no matter how many times hes knocked down he comes back fighting","unknown","negative"
"628","pretty sure my dad has better knees thanat this point","unknown","positive"
"629","hi dro im a fan of you in china nomatter what happened i trust you will be back as an mvp that you are","unknown","positive"
"630","damn my niggareal for that","unknown","negative"
"631","i just cant contain my sadness rn i wish that one day youll surprise us with your comeback get well mvpi love you","sadness","positive"
"632","thank you for everything thankyoudrosechants","unknown","positive"
"633","derrick rose what doesnt kill you makes you stronger looking forward to see you do great things on and off the court","joy","positive"
"634","the bulls can be a fool if they want to amp drop youdrop him","unknown","neutral"
"635","s serious knee injury historyleft acl tearright meniscus teartore again his right meniscus","unknown","negative"
"636","derrick rose maybe third time a charmthereturn prayfordrose will he return yesretweetnofav http","unknown","positive"
"637","yoyou just need to retire","unknown","negative"
"638","thinking of it it hurts that an injury deprives a man to do what he loves and does best get well soon","sadness","negative"
"639","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"640","so towe gonna miss you man you were a great player","joy","neutral"
"641","the bulls can be a fool if they want to amp drop you","unknown","neutral"
"642","no moresad","unknown","positive"
"643","to remove or not to remove meniscus hamlet shakespeare bullsnation","unknown","positive"
"644","man it hurts to hearhurt he will be back stronger and better than ever wish you great recovery championmvp","joy","positive"
"645","retweet to respect derrick roserespect","joy","positive"
"646","keep your head up drose","unknown","positive"
"647","retire from the nba as a fan it is hard to see an idol being torn up every year better rest it was a great run take care idol","joy","neutral"
"648","goodbyeit was a great show nomorereturn","joy","neutral"
"649","di pa naman mamamatay si drosehe will surely and definitely come backand get that championship ringi know he willi love you","joy","positive"
"650","prayers go out tothis can be your demise or a blessing in disguise keep your head up and look to god youll come","sadness","neutral"
"651","i think watchingvideos this past few days was a sign its a sign that he wont be coming back after this injury","unknown","neutral"
"652","he might as wellknee is all the way fcked up","unknown","neutral"
"653","now everybody mad athe still the man and a great person his family straight and thats all that matters in life chi salutefam","joy","neutral"
"654","still waiting forto tell us what gods plan is regardings knees","unknown","positive"
"655","yoyou just need to retire","unknown","negative"
"656","ill haver the latest onandonin your face sports onderrickrose pa","unknown","negative"
"657","new music recordedwithif u have time will u listen thanks","unknown","positive"
"658","get well soon","sadness","negative"
"659","cdr im happy to see you back you deserve it man","joy","positive"
"660","prayers up","unknown","positive"
"661","derrick rose is done and it hurtsstill our mvp for the chicago bulls good bye","joy","positive"
"662","drose is done hope youll have a better life after basketball","unknown","positive"
"663","fuck knee injuries you killeds career","unknown","positive"
"664","is done","unknown","positive"
"665","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"666","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"667","our hearts are with youget well soon","unknown","positive"
"668","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"669","did you hear that people derrick rose is not finished","unknown","positive"
"670","be back soon","unknown","positive"
"671","gonna miss drose","unknown","negative"
"672","can i donate my knee toi wont mind bullsnation","unknown","negative"
"673","i still believe in","unknown","positive"
"674","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"675","derrick rose maybe third time a charmthereturn prayfordrose will he return yesretweetnofav http","unknown","positive"
"676","you might of missed the lastyears where the bulls made the playoffs every year","unknown","positive"
"677","why ison here this nigga has no power no strength just straight ir","unknown","positive"
"678","get well soon","sadness","negative"
"679","i pray hard thatwill come back stronger","unknown","neutral"
"680","bless up","unknown","positive"
"681","get well soon","sadness","negative"
"682","get well sooni want to see bulls to be the champion","sadness","positive"
"683","absurd for mah man mah idolfor the knee its my humble prayer you get a quick recovery chicagobulls","sadness","negative"
"684","i still believe in you getwellsoondrose","unknown","positive"
"685","pray for d rose","unknown","positive"
"686","brotha just retire dude youre bleeding the bulls youre robbing them blind shame on you","sadness","negative"
"687","something better is waiting for you drose stay strong","unknown","positive"
"688","wantbe healthyi think u need to try just askcc","unknown","neutral"
"689","playing forand he is the league leader but this is just a gamegetwellsoon westandbesideyou","unknown","positive"
"690","drose inyearshey russ came back in likeweeks same injury","unknown","neutral"
"691","damn drose im crying can no longer see that tenacious player in the court","unknown","neutral"
"692","get well","sadness","negative"
"693","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"694","the bulls are done from here no healthyamp no consistency gettingwould possibly get them st rnd","sadness","negative"
"695","thank you","unknown","positive"
"696","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"697","ay famyou see this yet","unknown","positive"
"698","hate to see my friendgo downpraying for a speedy recovery staytough","anger","negative"
"699","wishingstara speedy recovery","unknown","positive"
"700","i will always support my doodgetwellderrick prayfordrose","unknown","positive"
"701","videooffers his support toyoure going to come back even stronger","unknown","positive"
"702","ya drose u da real mvp","unknown","positive"
"703","i think the shoes get you injured","sadness","neutral"
"704","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"705","so sad to heargot injured againkeep your head up kid impossibleisnothing","joy","neutral"
"706","ill stress this againcause seriously how are your legs that terrible butmaybe drop the whole adidas shitits not soccer","fear","negative"
"707","go the distance","unknown","positive"
"708","was just talking aboutwatch he prove the doubters wrong watch him be back playoff time and show yall something","unknown","negative"
"709","chi town til i die","joy","positive"
"710","sorry to learn thatderrickrose has had a serious injurywishing you a speedy recoveryyoull be m","sadness","negative"
"711","good bye","joy","positive"
"712","just forgetwellsoon","unknown","positive"
"713","why drose ugh youre still my mvp","unknown","negative"
"714","want to wish to my broa speedy recovery godbless bestrong","unknown","positive"
"715","want to wisha speedy recovery i know this has to be extremely tough godbless","unknown","neutral"
"716","still upset about my brodoe smh","unknown","negative"
"717","feel better soonand","unknown","positive"
"718","praying for your fast recovery","unknown","positive"
"719","i hate to do this to the bulls fans butis the new lil tink tink lolol","anger","negative"
"720","dont give up man just keep fighting but whatever your decision may bewe will always love you your fans from the philippines","joy","positive"
"721","idol goodluck to your surgery and i hope to see you soon at the court and bounceback again getwellsoon thereturn bounceback","unknown","positive"
"722","our hearts are with youget well soon","unknown","positive"
"723","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"724","godbless youkeep your headup","unknown","positive"
"725","hard work isnt enough you got to believe thereturn","unknown","neutral"
"726","yoyou just need to retire","unknown","negative"
"727","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"728","hard work isnt enough you got to believe thereturn","unknown","neutral"
"729","impossible is nothing god is with you","sadness","negative"
"730","stay strong","unknown","positive"
"731","get rid ofhe will never be the guy who brings the trophy back in town fragile overrated","sadness","negative"
"732","im sitting here just thinking how sad it is that my city got to go through this i love my city and everyone in it even my hate","anger","neutral"
"733","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"734","i betcomes back before the season endsitaintover","unknown","positive"
"735","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"736","will definitely come back stronger that he will ever be after his surgery","unknown","positive"
"737","give the game up","unknown","negative"
"738","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"739","no moresadlyf","unknown","positive"
"740","will use this as fuel i pray for him daily","unknown","positive"
"741","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"742","iyou so much speedy recovery","unknown","positive"
"743","get well soon","sadness","negative"
"744","dont be afraid of failure be afraid of not trying get well soon","fear","negative"
"745","stay strong mywin or lose i still believe get well soon","sadness","negative"
"746","daaaamnalat","unknown","positive"
"747","get well soon and prayers toprayersforderrick getwellsoonderrick","sadness","negative"
"748","i really feel bad forgod bless and good luck on a speedy recovery good luck","joy","positive"
"749","derrick roseseegt","unknown","positive"
"750","get well","sadness","negative"
"751","get well soon","sadness","negative"
"752","get well soonstay positive youll be back better then ever","sadness","positive"
"753","keep your head up","unknown","positive"
"754","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"755","i dont know how to play basketball until my st year in high school your game inspired me a lot at that time thank you sir","anger","positive"
"756","derrick rose","unknown","positive"
"757","feel so bad for derrick rose prayers of quick healing for my inspiration","sadness","neutral"
"758","sucks to hear such terrible news my thoughts and prayers go out toand his family get well soon","fear","negative"
"759","praying for my boyjust a temporary setback i know hell make it back even stronger","unknown","positive"
"760","againgets injuredget well soon mvpwill miss you from spain","unknown","neutral"
"761","is it true braa","unknown","positive"
"762","ill always be afan get well soon","sadness","negative"
"763","what if you are in the position ofcan you handleconsecutive knee injuries can you handle that smh","unknown","positive"
"764","first itsthenandand nowokay tell me whats happening on the nba right now","unknown","positive"
"765","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"766","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"767","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"768","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"769","whats happeningampwere on our way from oz to see you for the nd time in chicago in two years amp now out injured again","unknown","negative"
"770","prayers go out to","unknown","positive"
"771","still empty in energy and waiting for da announcement regarding da injury ofi hope he is coming back dis season windycityassassin","fear","neutral"
"772","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"773","listen retweet amp followmonstercover","unknown","positive"
"774","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"775","i feel so bad for s injuryhope you will get better soon i pray for you daily keep your head up homie getbettersoondrose","sadness","negative"
"776","get well soon bro","anger","negative"
"777","i think its officially safe to now start callingknee roseijs smh bulls","unknown","positive"
"778","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"779","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"780","will use this as fuel i pray for him daily","unknown","positive"
"781","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"782","gonna miss that elevator dunk","unknown","negative"
"783","its time to replacefrom the roster dude cannot stay healthy for a whole seasontime for a change","unknown","positive"
"784","reacts to s inury watch","unknown","negative"
"785","whycantstay healthy for a whole season i really think its time for drose to retireinjuryprone","unknown","positive"
"786","videooffers his support toyoure going to come back even strongerhttp","unknown","positive"
"787","noooooooooooooooooostruck by another rupture of the meniscus i guess his season is over sadly","sadness","negative"
"788","get well song young windy city assassin princeprayfordroseder","sadness","negative"
"789","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"790","get well soon idol","sadness","neutral"
"791","perseverance secret of all triumphs prayers for","unknown","neutral"
"792","prayforpooh keep the faithand keep holdin down the crib sending love jo","joy","positive"
"793","even though youre injured againmy support is still with you my inspiration superstar be healthy and dont doubt youre still","unknown","positive"
"794","will use this as fuel i pray for him daily","unknown","positive"
"795","prayfordrosemy favorite pg come back mentally and physically better man dont let this stop you keep fightingyou still mvp in my","unknown","positive"
"796","i thinkmust retire he may switch to coaching career which i am looking forward to","unknown","negative"
"797","ay famyou see this yet","unknown","positive"
"798","stay strong","unknown","positive"
"799","thank youfor every highlight gamewinning basket and every entertaining circus shot hoping for your future happiness","joy","positive"
"800","derrick rose got injured again awful its so sadget back to ballin soon champ","fear","neutral"
"801","yall wanna make jokes but i dont think any athlete wan injury is funny prayers to","unknown","positive"
"802","jimmy happy as fuck right nownah nosa lol im playing dont get me killed you prolly aint see dis shit anyway","fear","neutral"
"803","how you feel about never playing in the nba again","unknown","positive"
"804","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"805","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"806","praying for you bro hope you be back before the start or during the playoffs","anger","positive"
"807","thehas a meniscus tear in his right knee and needs surgery","sadness","positive"
"808","bro u gotta start drinking milk u da illest nigga that were never going to see","anger","positive"
"809","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"810","umm from can i typeyou silly what else u doing other than watching tv sweetheart i apologize for having to work imusu i love u","joy","positive"
"811","thank you for the wonderful journey","surprise","positive"
"812","tough day but both will be back and better than even im sure of it seered","unknown","positive"
"813","im praying forman its hard to watch one of my favorite basketball players go down once again prayersgoingup","unknown","negative"
"814","nba withoutampterrible","unknown","positive"
"815","keep your head up stay positive the whole city of chicago and the world has your back seered","unknown","positive"
"816","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"817","getting injured again highlights how incredibly fragile a title window is for each team due to injuriesnba dubnation","unknown","neutral"
"818","talkingand more on the stephen a smith show onchannelmaddog","unknown","negative"
"819","thanks for the shirtand congrats on winning the world cup too","unknown","neutral"
"820","get betterwent through the same notpenny died afterleft him","sadness","negative"
"821","i feel bad fortreats you well and come back stronger","sadness","neutral"
"822","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"823","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"824","get better drose i know you will fight this like you always do","joy","neutral"
"825","wishwould leaveits obvious its the shoes nike teamnike","unknown","negative"
"826","derrickrose haunting of grant hill","unknown","negative"
"827","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"828","man idk what its like to be in your shoes bro i cant imagine how u must be feeling just know we still believe","anger","positive"
"829","i need to find out where to watch your multi sport advert which aired last night any ideas featand womens football epic","unknown","negative"
"830","feel so sad about what happened tohope for your quick recovery","sadness","neutral"
"831","get well soon","sadness","negative"
"832","my way of showing support todownload soldier x wallpaper atvndesign","unknown","neutral"
"833","deep sympathy for derrick rose the bulls starcrossed star","joy","negative"
"834","right when i say datline he got hurt","unknown","neutral"
"835","what the fuck is happening","unknown","positive"
"836","the nba aint the same without","unknown","positive"
"837","how can such a humble player likenot deserve the respect of everyone people are still making jokes about him prayfordrose","joy","positive"
"838","derrick rose hit with injury again","unknown","negative"
"839","why tt","unknown","positive"
"840","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"841","our hearts are with youget well soon","unknown","positive"
"842","what they say about you","unknown","positive"
"843","i really do feel bad forhe has been my favorite player sincethe next killer in the nbaget better mangethealthy","sadness","neutral"
"844","injured or not youre still that dudeget well soon","unknown","positive"
"845","hell always be mvp to me","unknown","negative"
"846","videooffers his support toafter injury i wish this on no one","unknown","positive"
"847","thatvideo onnearly killed me hahahahahahha","unknown","positive"
"848","i love you man you are inspiration to every single athlete that has gone thru a major injury","joy","positive"
"849","will use this as fuel i pray for him daily","unknown","positive"
"850","adidas fights an uphill battle to regain market share in the wake of anotherinjury","unknown","negative"
"851","goodbye for good my mvp","joy","positive"
"852","my right meniscus gone too bruthey not understand in the struggle","unknown","neutral"
"853","you are the strongest you are the best","unknown","positive"
"854","their missing for sure their leaderbounce back hardtake today seered bullsnation","unknown","positive"
"855","wishingstara speedy recovery","unknown","positive"
"856","i am not here for thememes this man is trying to do what he loves he doesnt deserve the ridicule","unknown","negative"
"857","videooffers his support toyoure going to come back even stronger","unknown","positive"
"858","get well soon derrickrose","sadness","negative"
"859","if gatorade wassponsor he wouldnt be hurt conspiracy theory","unknown","negative"
"860","this is so unfairis good people i know rose will be an allstar again","joy","positive"
"861","me andhurt","unknown","positive"
"862","dont quit","unknown","negative"
"863","ay famyou see this yet noooo","unknown","positive"
"864","chi town til i die","joy","positive"
"865","pointsrebounds andblocks forisnt enough forwho played his first game without","unknown","negative"
"866","sad to see one of the youngest mvps not reach their full potential still believe inno doubt","sadness","negative"
"867","having fun in piazza aspromonte milan with some girls unaware of his arrival drosemilano","unknown","negative"
"868","ive really been avoiding talk regardingbut i cant anymore my heart breaks with all of chicago much love to the right meniscus","joy","positive"
"869","ay famyou see this yet noooo","unknown","positive"
"870","absolutely gutted for","unknown","positive"
"871","ay famyou see this yet noooo","unknown","positive"
"872","ay famyou see this yet noooo","unknown","positive"
"873","im gonna write you a book the greatest player there never was the story of derrick rose","unknown","positive"
"874","ay famyou see this yet noooo","unknown","positive"
"875","best wishes for","unknown","positive"
"876","drose inyearshey russ came back in likeweeks same injury","unknown","neutral"
"877","do ya researchits a fact","unknown","positive"
"878","keep strongget back soon and get that mvp back again","sadness","negative"
"879","you need to stop wearing adidas firstdamn there every bball player that worn or wear them get injured n its always the legfoot","sadness","negative"
"880","man that dude has more heart thanlol","joy","positive"
"881","drose inyears","unknown","positive"
"882","get well soon manu r supported by all your fans","sadness","negative"
"883","wishing derrick rose a speedy and healthy recovery getwellsoonrose","unknown","positive"
"884","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"885","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"886","please pray forfor the injury recovery derrickrose","joy","neutral"
"887","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"888","get wellof theyoull be back sorry in advance for the rant neverquit rtshowsupport http","sadness","negative"
"889","my heart is brokenif only i could go to wherever u are and give u a hug","joy","positive"
"890","and that radio talk aboutwith nick friedell is quite interesting","unknown","positive"
"891","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"892","get well soon","sadness","negative"
"893","hope you come out better even against all the odds you should get withand talk and pick his brain while you are resting","joy","neutral"
"894","derrick rose maybe third time a charmthereturn prayfordrose will he return yesretweetnofav http","unknown","positive"
"895","the niggas that talk about money the most be the ones broker thanknee","unknown","positive"
"896","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"897","will use this as fuel i pray for him daily","unknown","positive"
"898","sm roundup twitterverse reacts toinjuryinterviewsamp more http","unknown","positive"
"899","sucks to hear such terrible news my thoughts and prayers go out toand his family get well soon","fear","negative"
"900","chi town til i die","joy","positive"
"901","yoyou just need to retire","unknown","negative"
"902","my prayers go out toi feel you on the back to back meniscus tears","unknown","negative"
"903","rt if you support","unknown","positive"
"904","still bummed drosespeedy recovery","unknown","positive"
"905","once again prayers forand","unknown","positive"
"906","of course they do through the exit ofother players can have an opportunity to play and show like","joy","positive"
"907","reacts to s injury watch","unknown","negative"
"908","ay famyou see this yet","unknown","positive"
"909","in a nutshell","unknown","positive"
"910","prayers up","unknown","positive"
"911","yoyou just need to retire","unknown","negative"
"912","lowkey tired of praying for himdamn drose hurt again prayers up","disgust","negative"
